0517ea13b89ecf7b2f2bf9c220cae206c7e43c1525ee2ef81078fb64fa2ab8ad,b13fa6839099d6ad44a9e4ddde80872efd7d435c482086cd6e6eb9405d430159,9ec8f4409248d0e0442f36047bb35f62f633d2c866281c80ce5bebbd7ba5d0c4,18209273301219bef52757fec717bb44dcd3130407472496826e482cb62e04ae,297a7b4890d60d9510dc084f97a6395c3dd67f58e9eb47e353bd83dc2efe3208,5fcd34234cfd468d5677282a50bce2e320ae7c2b8ba68df2f64460175f30a56b,7c2a0d29e5a413e8f0797c39239ccebb9f17d3030737a8f0d45a04760a862326
"bgm_M618","2:02","真步真步的神奇旅程！　旅行的少女與邊境的大樹","bgm_M618_juke","劇情活動主題曲\n-｢優雅少女旅程｣編曲-\n\n時間 / 02:02\n作曲 / 金山秀士（Dream Monster）\n編曲 / 多田彰文","237","0:00"
"bgm_M621","1:30","哀執的植物羊","bgm_M621_juke","劇情活動Boss戰\n-｢優雅少女旅程｣編曲-\n\n時間 / 01:30\n時間 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","238","0:00"
"bgm_M617","1:36","優雅少女旅程","bgm_M617","角色歌曲\n\n時間 / 01:36\n演唱　 / 真步（内田真礼）\n作詞 / 金山秀士（Dream Monster）\n作曲 / 金山秀士（Dream Monster）\n編曲 / 金山秀士（Dream Monster）","239","0:55"
"bgm_M623","1:34","點讚！最愛！大集合！　至高祭典與少女祕密的本命任務","bgm_M623_juke","劇情活動主題曲\n-｢O-TA-O-TA WORLD｣編曲-\n\n時間 / 01:34\n作曲 / Heart's Cry (TOKYO LOGIC)\n編曲 / 市橋卓也（Cygames）","240","0:00"
"bgm_M625","2:00","瘋狂直播主‧輝美","bgm_M625_juke","劇情活動Boss戰\n\n時間 / 02:00\n作曲 / 榎本 三和子（Cygames）\n編曲 / 榎本 三和子（Cygames）","241","0:00"
"bgm_M622","1:35","O-TA-O-TA WORLD","bgm_M622","角色歌曲\n\n時間 / 01:35\n演唱　 / 智（茅原実里）\n　　　七七香（佳村はるか）\n　　　鈴（小岩井ことり）\n作詞 / Heart's Cry (TOKYO LOGIC)\n作曲 / Heart's Cry (TOKYO LOGIC)\n編曲 / Heart's Cry (TOKYO LOGIC)","242","1:01"
"bgm_M630","1:37","部族精神　高揭之劍與榮耀和平之橋","bgm_M630_juke","故事劇情主題曲\n-「Knight's Soul」編曲-\n\n時間 / 01:37\n作曲 / 設楽哲也\n編曲 / 畑田浩孝（Cygames）","243","0:00"
"bgm_M634","1:59","黑曜魔像","bgm_M634_juke","故事劇情Boss戰\n\n時間 / 01:59\n作曲 / 西村真吾\n編曲 / 西村真吾","244","0:00"
"bgm_M637","1:28","Knight's Soul","bgm_M637","角色歌曲\n\n時間 / 01:28\n歌　 / 茉莉（下田麻美）\n　　　克莉絲提娜（たかはし智秋）\n作詞 / eNu\n作曲 / 設楽哲也\n編曲 / 設楽哲也","245","0:52"
"bgm_M638","1:08","Happy Happening　幸福的雙子天使與聖誕夜的禮物","bgm_M638_juke","故事劇情主題曲\n-｢初雪雙胞胎的求愛｣編曲-\n\n時間 / 01:08\n作曲 / 森本練\n編曲 / 中村早織（Cygames）","246","0:00"
"bgm_M641","2:01","不幸福的多倫多獸","bgm_M641_juke","故事劇情Boss戰\n\n時間 / 02:01\n作曲 / 守谷勇人\n編曲 / 守谷勇人","247","0:00"
"bgm_M656","1:29","初雪雙胞胎的求愛","bgm_M656","角色歌曲\n\n時間 / 01:29\n演唱　 /依里（原紗友里）\n　　　茜里（浅倉杏美）\n作詞 / 森本練\n作曲 / 森本練\n編曲 / 森本練","248","0:52"
"bgm_M647","1:21","煙霧繚繞忘年奇譚　為旭日初升舉杯","bgm_M647_juke","故事劇情主題曲\n-《ma.sa.yu.me.》編曲-\n\n時間／01:21\n作曲／ウツミタカアキ\n編曲／佐藤遥（Cygames）","249","0:00"
"bgm_M650","1:54","汙穢的湯之神‧陽卵","bgm_M650_juke","故事劇情Boss戰\n\n時間／01:54\n作曲／亀井瑠美\n編曲／亀井瑠美","250","0:00"
"bgm_M666","1:39","ma.sa.yu.me.","bgm_M666","角色歌曲\n\n時間／01:39\n演唱／帆稀（大西沙織）\n　　　美里（國府田マリ子）\n作詞／ウツミタカアキ\n作曲／ウツミタカアキ\n編曲／ウツミタカアキ","251","1:05"
"bgm_M651","2:04","新春每日溫泉","bgm_M651_juke","故事劇情迷你內容\n-《ma.sa.yu.me.》編曲-\n\n時間／02:04\n作曲／ウツミタカアキ\n編曲／Enarak（Cygames）","252","0:00"
"bgm_M643","1:03","終炎的理想鄉","bgm_M643_juke","終炎的理想鄉\n\n時間／01:03\n作曲／中町友洋\n編曲／中町友洋","253","0:00"
"bgm_M645","2:05","甦醒的威脅們","bgm_M645_juke","終炎的理想鄉Boss戰\n\n時間／02:05\n作曲／植田能平\n編曲／植田能平","254","0:00"
"bgm_M646","1:35","虛偽的救濟者","bgm_M646_Mode1_juke","終炎的理想鄉Boss戰\n\n時間／01:35\n作曲／千葉梓（Cygames）、関根修平（Cygames）\n編曲／関根修平（Cygames）","255","0:00"
"bgm_M646","1:40","司掌終炎的魔術師","bgm_M646_Mode2_juke","終炎的理想鄉Boss戰\n\n時間／01:40\n作曲／千葉梓（Cygames）、関根修平（Cygames）\n編曲／関根修平（Cygames）","256","0:00"
"bgm_M646","2:00","追尋奧祕力量之人","bgm_M646_Mode3_juke","終炎的理想鄉Boss戰\n-《Mirage Game》時間／編曲-\n\n時間／02:00\n作曲／田中公平\n編曲／吉川美矩、関根修平（Cygames）","257","0:00"
"bgm_M659","1:00","嚮往著希望的樂園","bgm_M659_juke","故事劇情主題曲\n-《Never Lose Again》編曲-\n\n時間／01:00\n作曲／奥井康介\n編曲／榎本三和子（Cygames）","258","0:00"
"bgm_M660","1:17","即便在充滿不確定性的未來","bgm_M660_juke","故事劇情主題曲\n-《Never Lose Again》編曲-\n\n時間／01:17\n作曲／奥井康介\n編曲／Enarak（Cygames）","259","0:00"
"bgm_M664","2:12","樂園守護者","bgm_M664_juke","故事劇情Boss戰\n\n時間／02:12\n作曲／西木康智\n編曲／佐藤遥（Cygames）","260","0:00"
"bgm_M665","3:26","象徵久遠庭園之人","bgm_M665_juke","故事劇情Boss戰\n\n時間／03:26\n作曲／畑田浩孝（Cygames）\n編曲／畑田浩孝（Cygames）","261","0:00"
"bgm_M667","1:22","Never Lose Again","bgm_M667","角色歌曲\n\n時間／01:22\n演唱／矛依未（潘めぐみ）\n作詞／稲葉エミ\n作曲／奥井康介\n編曲／奥井康介","262","0:42"
"bgm_M668","1:39","貓與懷舊點心的咖啡廳　歡迎光臨Café Naschkatze","bgm_M668_juke","故事劇情主題曲\n-《喵喵的奮力一擊》編曲-\n\n時間／01:39\n作曲／TAKT（TRYTONELABO）\n編曲／佐藤遥（Cygames）","263","0:00"
"bgm_M671","1:34","祈福託災的招財貓","bgm_M671_juke","故事劇情Boss戰\n\n時間／01:34\n作曲／多田彰文\n編曲／多田彰文","264","0:00"
"bgm_M674","1:35","喵喵的奮力一擊","bgm_M674","角色歌曲\n\n時間／01:35\n演唱　／珠希（沼倉愛美）\n作詞／TAKT（TRYTONELABO）\n作曲／TAKT（TRYTONELABO）\n編曲／TAKT（TRYTONELABO）","265","0:51"
"bgm_MC017","1:21","Dears　歡迎回家與我回來了的約定","bgm_MC017_juke","故事劇情主題曲\n-《我的色彩STORY》編曲-\n\n時間／01:21\n作曲／高木龍一（Dream Monster）\n編曲／Max Mullowney（Cygames）","266","0:00"
"bgm_MC020","2:31","大王猩猩","bgm_MC020_juke","故事劇情Boss戰\n\n時間／02:31\n作曲／小半大\n編曲／小半大","267","0:00"
"bgm_MC034","1:29","我的色彩STORY","bgm_MC034","角色歌曲\n\n時間／01:29\n演唱　／栞（小清水亞美）\n作詞／Cocoro. （Dream Monster）\n作曲／高木龍一（Dream Monster）\n編曲／高木龍一（Dream Monster）","268","0:59"
"bgm_MC021","2:19","魔物生態報告書","bgm_MC021_juke","故事劇情迷你內容\n-《我的色彩STORY》編曲-\n\n時間／02:19\n作曲／高木龍一（Dream Monster）\n編曲／Enarak（Cygames）","269","0:00"
"bgm_MC001","2:06","萬花綻放的新天地","bgm_MC001_juke","主線冒險\n\n時間／02:06\n作曲／佐藤遥（Cygames）\n編曲／佐藤遥（Cygames）","270","0:00"
"bgm_MC022","1:23","吉歐‧提格尼亞的戰鬥","bgm_MC022_juke","主線冒險\n\n時間／01:23\n作曲／長谷部翔（Cygames）\n編曲／長谷部翔（Cygames）","271","0:00"
"bgm_MC026","2:09","Connect‧With‧Blue　直至少女前往天際","bgm_MC026_juke","故事劇情主題曲\n-「羽翼的序幕」編曲-\n\n時間 / 02:09\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 畑田浩孝（Cygames）","272","0:00"
"bgm_MC029","2:08","智慧的鍊金術師‧莫夫","bgm_MC029_juke","故事劇情Boss戰\n\n時間 / 02:08\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","273","0:00"
"bgm_MC035","1:32","羽翼的序幕","bgm_MC035","角色歌曲\n\n時間 / 01:32\n演唱 / 吉塔（金元寿子）\n作詞 / 真崎エリカ\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 本多友紀 (Arte Refact)","274","1:03"
"bgm_MC030","1:58","蘭德索爾一期一會","bgm_MC030_juke","故事劇情迷你內容\n-「羽翼的序幕」編曲-\n\n時間 / 01:58\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 亀井瑠美","275","0:00"
"bgm_MC007","1:07","次元斷層","bgm_MC007_juke","次元斷層\n\n時間 / 01:07\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","276","0:00"
"bgm_MC008","1:46","出現於次元夾縫的威脅","bgm_MC008_juke","次元斷層\n\n時間 / 01:46\n作曲 / 中村博\n編曲 / 中村博","277","0:00"
"bgm_MC023","1:32","華麗世界的強敵","bgm_MC023_juke","主線冒險Boss戰\n\n時間 / 01:32\n作曲 / 中町友洋\n編曲 / 中町友洋","278","0:00"
"bgm_MC036","1:13","吸血鬼傳聞錄　黑夜與美麗的饗宴","bgm_MC036_juke","故事劇情主題曲\n-《Gothical Radical † Eternal Wedding》\n編曲-\n\n時間 / 01:13\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 佐藤遥（Cygames）","279","0:00"
"bgm_MC039","2:07","變貌的從者‧布拉德","bgm_MC039_juke","故事劇情Boss戰\n\n時間 / 02:07\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","280","0:00"
"bgm_MC052","1:29","Gothical Radical † Eternal Wedding","bgm_MC052","角色歌曲\n\n時間 / 01:29\n演唱　 / 伊莉亞（丹下桜）\n作詞 / 毛蟹（LIVE LAB.）\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 毛蟹（LIVE LAB.）","281","0:48"
"bgm_MC040","1:28","雪的審美會","bgm_MC040_juke","故事劇情迷你內容\n-《Gothical Radical † Eternal Wedding》\n編曲-\n\n時間 / 01:28\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 中村早織（Cygames）","282","0:00"
"bgm_M06","0:54","Princess Fight☆","bgm_M06_juke","主線冒險\n\n時間 / 00:54\n作曲 / 西木康智\n編曲 / 西木康智","283","0:00"
"bgm_M169","1:10","艾爾皮斯島之戰","bgm_M169_juke","主線冒險\n\n時間 / 01:10\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","284","0:00"
"bgm_MC046","1:14","大間的排光海水大作戰　祕密主義者與禁斷之海","bgm_MC046_juke","故事劇情主題曲\n-《變身萬花筒》編曲-\n\n時間 / 01:14\n作曲 / やしきん\n編曲 / 守谷勇人","285","0:00"
"bgm_MC048","2:28","復活的白色島鯨","bgm_MC048_juke","故事劇情Boss戰\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 中町友洋","286","0:00"
"bgm_MC055","1:29","變身萬花筒","bgm_MC055","角色歌曲\n\n時間 / 01:29\n演唱　 / 似似花（井口裕香）\n作詞 / 高瀬愛虹\n作曲 / やしきん\n編曲 / やしきん","287","0:51"
"bgm_MC049","1:42","公主的祕密","bgm_MC049_juke","故事劇情迷你內容\n-《變身萬花筒》編曲-\n\n時間 / 01:42\n作曲 / やしきん\n編曲 / 塚越廉","288","0:00"
"bgm_MC043","1:39","美食獵人號，出發前進！","bgm_MC043_juke","巡遊 ｢Precious Journey｣編曲\n\n時間 / 01:39\n作曲 / 東大路憲太\n編曲 / 市橋卓也（Cygames）","289","0:00"
"bgm_MC056","1:08","戰慄幽奇海岸　～夏日度假村驚悚怪談～","bgm_MC056_juke","故事劇情主題曲\n-「愛的羈絆」編曲-\n\n時間 / 01:08\n作曲 / 松坂康司（SUPA LOVE）\n編曲 / 関根修平（Cygames）","290","0:00"
"bgm_MC058","1:27","怨恨亡靈","bgm_MC058_juke","故事劇情Boss戰\n\n時間 / 01:27\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","291","0:00"
"bgm_MC072","1:33","愛的羈絆","bgm_MC072_juke","角色歌曲\n\n時間 / 01:33\n演唱　 / 蘭法（原田彩楓）\n作詞 / 松坂康司（SUPA LOVE）\n作曲 / 松坂康司（SUPA LOVE）\n編曲 / 松坂康司（SUPA LOVE）","292","0:55"
"bgm_MC070","1:50","Precious Journey","bgm_MC070_juke","角色歌曲\n\n時間 / 01:50\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美來）\n　　　凱留（立花理香）\n　　　莉莉（鈴木みのり）\n　　　可璃亞（前田佳織里）\n　　　普蕾西亞（高尾奏音）\n作詞 / マイクスギヤマ\n作曲 / 東大路憲太\n編曲 / 東大路憲太","293","1:00"
"bgm_MC071","1:32","晚霞色的漫步","bgm_MC071_juke","角色歌曲\n\n時間 / 01:32\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美來）\n　　　凱留（立花理香）\n作詞 / 瀬名航（SOVA）\n作曲 / 白戸佑輔（Dream Monster）\n編曲 / 白戸佑輔（Dream Monster）","294","0:52"
"bgm_MC063","1:24","魔法師的青春時日　魔法學園與奇蹟之鐘","bgm_MC063_juke","故事劇情主題曲\n-「那個春天，從日記的續篇開始」編曲-\n\n時間 / 01:24\n作曲 / 瀬名航（SOVA）\n編曲 / 中川峻彰","295","0:00"
"bgm_MC066","2:25","被解放的暴魔‧阿爾杰什","bgm_MC066_juke","故事劇情BOSS戰\n\n時間 / 02:25\n作曲 / 松尾早人\n編曲 / 松尾早人","296","0:00"
"bgm_MC073","1:29","那個春天，從日記的續篇開始","bgm_MC073","角色歌曲\n\n時間 / 01:29\n演唱　 / 凱留（立花理香）\n作詞 / 瀬名航（SOVA）\n作曲 / 瀬名航（SOVA）\n編曲 / 瀬名航（SOVA）","297","0:42"
"bgm_MC024","2:37","萊拉耶爾","bgm_MC024_juke","角色主題曲\n-「萬花綻放的新天地」編曲-\n\n時間 / 02:37\n作曲 / 守谷勇人、佐藤遥（Cygames）\n編曲 / 守谷勇人","298","0:00"
"bgm_MC067","1:19","做好要學習的準備了嗎？","bgm_MC067_juke","小遊戲\n-「那個春天，從日記的續篇開始」編曲-\n\n時間 / 01:19\n作曲 / 瀬名航（SOVA）\n編曲 / 畑田浩孝（Cygames）","299","0:00"
"bgm_MC068","1:15","放學後的讀書會","bgm_MC068_juke","小遊戲\n-「那個春天，從日記的續篇開始」編曲-\n\n時間 / 01:15\n作曲 / 瀬名航（SOVA）\n編曲 / Enarak（Cygames）","300","0:00"
"bgm_MC075","1:46","浪漫薩拉薩利亞　～沙漠的新娘與不可思議的神燈～","bgm_MC075_juke","故事劇情主題曲\n-「Adenium」編曲-\n\n時間 / 01:46\n作曲 / 山口朗彦\n編曲 / 畑田浩孝（Cygames）","301","0:00"
"bgm_MC077","2:18","哈立德","bgm_MC077_juke","故事劇情Boss戰\n\n時間 / 02:18\n作曲 / 植田能平\n編曲 / 植田能平","302","0:00"
"bgm_MC074","1:37","Adenium","bgm_MC074","角色歌曲\n\n時間 / 01:37\n演唱　 / 咲戀（堀江由衣）\n　　　流夏（佐藤利奈）\n作詞 / 山口朗彦\n作曲 / 山口朗彦\n編曲 / 山口朗彦","303","0:57"
"bgm_MC032","1:59","蠻賊三姊妹","bgm_MC032_juke","角色主題曲\n\n時間 / 01:59\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","304","0:00"
"bgm_MC078","2:52","夢幻的婚姻模擬遊戲","bgm_MC078_juke","故事劇情迷你內容\n-「Adenium」編曲-\n\n時間 / 02:52\n作曲 / 山口朗彦\n編曲 / 佐藤遥（Cygames）","305","0:00"
"bgm_M17","0:50","有魔物！！","bgm_M17_02_juke","主線冒險Boss戰\n\n時間 / 00:50\n作曲 / 本田晃弘（Cygames）\n編曲 / 多田彰文","306","0:00"
"bgm_M170","1:02","新天地的強敵","bgm_M170_juke","主線冒險Boss戰\n\n時間 / 01:02\n作曲 / 東大路憲太\n編曲 / 東大路憲太","307","0:00"
"bgm_MC082","1:31","Criminal Rookie　天使們的悖論","bgm_MC082_juke","故事劇情主題曲\n-「Ylide Lotus」編曲-\n\n時間 / 01:31\n作曲 / 宮谷礼治\n編曲 / 佐藤遥（Cygames）","308","0:00"
"bgm_MC085","2:15","最終冒險★","bgm_MC085_juke","故事劇情Boss戰\n\n時間 / 02:15\n作曲 / IM.Lab\n編曲 / IM.Lab","309","0:00"
"bgm_MC089","1:27","Ylide Lotus","bgm_MC089","角色歌曲\n\n時間 / 01:27\n演唱　 / 莉莉（鈴木みのり）\n　　　可璃亞（前田佳織里）\n　　　普蕾西亞（高尾奏音）\n作詞 / 宮谷礼治\n作曲 / 宮谷礼治\n編曲 / アッシュ井上（Dream Monster）","310","0:41"
"bgm_MC083B","1:35","旅行與成長（與反省）的記錄","bgm_MC083B_02_juke","故事劇情迷你內容\n-「Ylide Lotus」編曲-\n\n時間 / 01:35\n作曲 / 宮谷礼治\n編曲 / 田山里奈","311","0:00"
"bgm_MC002","2:41","幻變少女","bgm_MC002_juke","角色主題曲\n\n時間 / 02:41\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","312","0:00"
"bgm_M615","1:21","探險","bgm_M615_juke","探險\n\n時間 / 01:21\n作曲 / 西村真吾\n編曲 / 西村真吾","313","0:00"
"bgm_MC091","1:06","聖誕哭泣寶貝　為誰存在的幸福之日","bgm_MC091_juke","故事劇情主題曲\n-《Christmas Blessing》編曲-\n\n時間 / 01:06\n作曲 / 高橋修平（SUPA LOVE）\n編曲 / 松尾早人","314","0:00"
"bgm_MC094","1:50","巴西利斯克‧阿洛斯","bgm_MC094_juke","故事劇情Boss戰\n\n時間 / 01:50\n作曲 / 田山里奈\n編曲 / 田山里奈","315","0:00"
"bgm_MC090","1:32","Christmas Blessing","bgm_MC090","角色歌曲\n\n時間 / 01:32\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　克蕾琪塔（Lynn）\n作詞 / 藤原優樹 （SUPA LOVE）\n作曲 / 高橋修平 （SUPA LOVE）\n編曲 / 高橋修平 （SUPA LOVE）\n弦樂編曲 / 曽木琢磨 （SUPA LOVE）","316","0:50"
"bgm_MC095","2:09","降臨期日曆","bgm_MC095_juke","故事劇情迷你內容\n-《Christmas Blessing》編曲-\n\n時間 / 02:09\n作曲 / 高橋修平（SUPA LOVE）\n編曲 / Enarak（Cygames）","317","0:00"
"bgm_MC079","2:02","業火燃燒的密林","bgm_MC079_juke","主線冒險\n\n時間 / 02:02\n作曲 / IM.Lab\n編曲 / IM.Lab","318","0:00"
"bgm_MC086","1:38","吉歐‧格黑納之戰","bgm_MC086_juke","主線冒險\n\n時間 / 01:38\n作曲 / 植田能平\n編曲 / 植田能平","319","0:00"
"bgm_MC099","1:10","迎春夢想家們！　新年隕石碎碎平安！？","bgm_MC099_juke","故事劇情主題曲\n-《未來的夢》編曲-\n\n時間 / 01:10\n作曲 / 篠崎あやと\n編曲 / 塚越廉","320","0:00"
"bgm_MC101","2:44","夢中隕石","bgm_MC101_juke","故事劇情Boss戰\n\n時間 / 02:44\n作曲 / 佐藤遥（Cygames）\n編曲 / 佐藤遥（Cygames）","321","0:00"
"bgm_MC107","1:27","未來的夢","bgm_MC107","角色歌曲\n\n時間 / 01:27\n演唱　 / 初音（大橋彩香）\n作詞 / 篠崎あやと\n作曲 / 篠崎あやと\n編曲 / 篠崎あやと","322","0:59"
"bgm_MC102","1:31","初夢挑戰","bgm_MC102_juke","故事劇情迷你內容\n-《未來的夢》編曲-\n\n時間 / 01:31\n作曲 / 篠崎あやと\n編曲 / 小出大和（Cygames）","323","0:00"
"bgm_MC087","1:40","焚燒世界的強敵","bgm_MC087_juke","主線冒險Boss戰\n\n時間 / 01:40\n作曲 / IM.Lab\n編曲 / IM.Lab","324","0:00"
"bgm_MC081","1:45","天才發明家三女、布武機","bgm_MC081_Fubuki_juke","EX冒險Boss戰\n-《蠻賊三姊妹》編曲-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","325","0:00"
"bgm_MC081","1:45","受難體質的次女、若菜","bgm_MC081_Wakana_juke","EX冒險Boss戰\n-《蠻賊三姊妹》編曲-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","326","0:00"
"bgm_MC081","1:45","心胸開闊的長女、倭","bgm_MC081_Yamato_juke","EX冒險Boss戰\n-《蠻賊三姊妹》編曲-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","327","0:00"
"bgm_MC096","2:30","涅妃‧涅羅","bgm_MC096_juke","角色主題曲\n-《業火燃燒的密林》編曲-\n\n時間 / 02:30\n作曲 / IM.Lab\n編曲 / IM.Lab","328","0:00"
"bgm_MC110","1:28","映於鏡中的訪客","bgm_MC110_juke","故事劇情主題曲\n-《Prayer》編曲-\n\n時間 / 01:28\n作曲 / 伊藤翼\n編曲 / Enarak（Cygames）","329","0:00"
"bgm_MC111","2:31","再一次。並且，再也不會。","bgm_MC111_juke","故事劇情主題曲\n-《Prayer》編曲-\n\n時間 / 02:31\n作曲 / 伊藤翼\n編曲 / 佐藤遥（Cygames）","330","0:00"
"bgm_MC114","1:51","紅霧精靈","bgm_MC114_juke","故事劇情Boss戰\n\n時間 / 01:51\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","331","0:00"
"bgm_MC115","2:28","顯露苦衷 埃拉＆志那都","bgm_MC115_juke","故事劇情頭目戰\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","332","0:00"
"bgm_MC108","1:36","Prayer","bgm_MC108","角色歌曲\n\n時間 / 01:36\n演唱　 / 厄莉絲（桑島法子）\n　　　優衣（種田梨沙）\n作詞 / 磯谷佳江\n作曲 / 伊藤翼\n編曲 / 伊藤翼","333","1:02"
"bgm_MC116","4:38","Another Wish‧Log","bgm_MC116_juke","故事劇情迷你內容\n-《Prayer》編曲-\n\n時間 / 04:38\n作曲 / 伊藤翼\n編曲 / 吉川美矩","334","0:00"
"bgm_MC103","1:37","穿越焚燒的世界","bgm_MC103_juke","巡遊\n-《Precious Journey》編曲-\n\n時間 / 01:37\n作曲 / 東大路憲太\n編曲 / IM.Lab","335","0:00"
"bgm_MC104","1:40","亂入！蠻賊三姊妹","bgm_MC104_juke","巡遊\n-《蠻賊三姊妹》編曲-\n\n時間 / 01:40\n作曲 / 関根修平（Cygames）\n編曲 / IM.Lab","336","0:00"
"bgm_M471","2:28","厄莉絲","bgm_M471_juke","角色主題曲\n\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","337","0:00"
"bgm_MC124","1:18","寒冬的盛夏與神聖學院的問題兒童","bgm_MC124_juke","故事劇情主題曲\n-《妄想夏日光暈》編曲-\n\n時間 / 01:18\n作曲 / 出口遼\n編曲 / 関根修平（Cygames）","338","0:00"
"bgm_MC126","1:42","地獄的聖女富美惠","bgm_MC126_juke","故事劇情Boss戰\n\n時間 / 01:42\n作曲 / 小半大\n編曲 / 小半大","339","0:00"
"bgm_MC109","1:41","妄想夏日光暈","bgm_MC109","角色歌曲\n\n時間 / 01:41\n演唱　 / 琪愛兒（佐倉綾音）\n　　　克蘿依（種﨑敦美）\n　　　優妮（小原好美）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 出口遼、半田翼","340","0:59"
"bgm_MC127","2:10","【LIVE】漂漂河　白天","bgm_MC127_01_juke","故事劇情迷你內容\n-《妄想夏日光暈》編曲-\n\n時間 / 02:10\n作曲 / 出口遼\n編曲 / 古見千桜子（Cygames）","341","0:00"
"bgm_MC128","2:10","【LIVE】漂漂河　夜晚","bgm_MC128_01_juke","故事劇情迷你內容\n-《妄想夏日光暈》編曲-\n\n時間 / 02:10\n作曲 / 出口遼\n編曲 / 小出大和（Cygames）","342","0:00"
"bgm_MC129","3:45","公主騎士之力","bgm_MC129_juke","公主騎士強化\n-《公主騎士》編曲-\n\n時間 / 03:45\n作曲 / 西木康智\n編曲 / 佐藤遥（Cygames）","343","0:00"
"bgm_MC130","0:59","抵達深奧的領域","bgm_MC130_juke","深域冒險\n-《紅焰的深域》編曲-\n\n時間 / 00:59\n作曲 / 松尾早人\n編曲 / 多田彰文","344","0:00"
"bgm_MC131","1:41","紅焰的深域","bgm_MC131_juke","深域冒險\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","345","0:00"
"bgm_MC132","1:41","蒼波的深域","bgm_MC132_juke","深域冒險\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","346","0:00"
"bgm_MC133","1:41","翠嵐的深域","bgm_MC133_juke","深域冒險\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","347","0:00"
"bgm_MC134","1:41","珀天的深域","bgm_MC134_juke","深域冒險\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","348","0:00"
"bgm_MC135","1:41","紫冥的深域","bgm_MC135_juke","深域冒險\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","349","0:00"
"bgm_MC136","1:36","冷酷・火爆・新兵訓練營　魔鬼教官和鞭子與……糖果？","bgm_MC136_juke","故事劇情主題曲\n-《Into The Trust》編曲-\n\n時間 / 01:36\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 古見千桜子（Cygames）","350","0:00"
"bgm_MC139","2:06","剛雷獸‧雷葛宏","bgm_MC139_juke","故事劇情Boss戰\n\n時間 / 02:06\n作曲 / 中川峻彰\n編曲 / 中川峻彰","351","0:00"
"bgm_MC151","1:30","Into The Trust","bgm_MC151","角色歌曲\n\n時間 / 01:30\n演唱　 / 惠理子（橋本ちなみ）\n　　　真琴（小松未可子）\n作詞 / Cocoro.（Dream Monster）\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 椿山日南子（Dream Monster）","352","1:00"
"bgm_MC140","1:51","惠理子和真琴的行軍A-Go-Go！","bgm_MC140_juke","小遊戲\n-｢Into The Trust｣編曲-\n\n時間 / 01:51\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 小半大","353","0:00"
"bgm_MC141","3:23","新兵們，隨我來","bgm_MC141_juke","小遊戲\n-｢Into The Trust｣編曲-\n\n時間 / 03:23\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 多田彰文","354","0:00"
"bgm_MC044","1:04","前往決鬥的舞台","bgm_MC044_juke","戰鬥試煉場\n\n時間 / 01:04\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","355","0:00"
"bgm_MC045","2:13","戰鬥試煉場，開幕！","bgm_MC045_juke","戰鬥試煉場\n\n時間 / 02:13\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","356","0:00"
