a3be463720792df16f2d67ba334b733fd0897b62e8692ea1e08587948b736e99,6af5d6c14d8ce1a717ccec1db7bb2491916062233c7732f4e7e8d809df06ffe6,7bd236e9f196c29e094b5ea9538072772393140218996e2a380243cb68435931,03615f436f5f7b90408aba2be1207ff87bb267a84a1281713ce667112698fb93,68827ae8d493c69735a42ba13fc8e44f7b2cf63c133e963ad4febf26e272feb9,e82db369f3bbe3ba76ab5b5196e43fdb20684b46cb00a6e8dffea8c3dbbbdb1f,bc34bed36e7b79d7bc827457327386d80b65cf7de20f440cf4084c0851b326d0,21cefaf352ec447de9ea007b945e9f3fd02102dbf99d1b1b47c03fccd7ad3651,90be7cc2709115031503338d9a84445ee4fa5963c62a618bee536201355e1bcd,ba8e9209cd67580b83e3b4afe163871fb3ec267f46556b85d4a218b22e72dc24,6db26a509b9091dfb73d933a50a3399d99345b85e4ddcbf7c38ee27cc6175bfc
"0.3","1.05","1.05","3217","","1.05","1.05","","0","123","132170036"
"","0.5","75","3217","","75","","","","122","132170037"
"","","1","3217","","301702","","","","32","132170038"
"","","0","3217","","0.4","","","","93","132170039"
"","","0","3217","","2","","","","32","132170040"
"","","0","3217","","310000","","","","32","132170041"
"","","1","3217","","321700","","","","32","132170042"
"","","0","3217","","0.4","","","","93","132170043"
"2","0.95","0.95","3217","","0.95","0.95","","2","123","132170044"
"","","0","3217","","0.2","","","","93","132170045"
"","0","glad","3217","","1000001","","","0.2","3","132170046"
"","","1","3217","","120","","","","32","132170047"
"","","0","3217","","0.4","","","","93","132170048"
"","","1","3217","","998","","","","32","132170049"
"","","0","3217","","0.6","","","","93","132170050"
"1","0","joy_round3_in","3217","","1000001","joy_round3_loop","","0.2","3","132170051"
"","","0","3217","","5","","","","93","132170052"
"","","","3217","","1","","","","113","132170053"
"1","345.4","330000","3300","","330000","0","","0","31","133000001"
"1","345.4","8","3300","","8","0","","1","31","133000002"
"","","0","3300","","8","","","","35","133000003"
"","","","3300","","0","","","","91","133000004"
"7.4","1.05","1.05","3300","","1.05","1.05","","0","123","133000005"
"","0","wait","3300","","1000001","","","0.2","3","133000006"
"","","1","3300","","2","","","","35","133000007"
"","","0","3300","","4.9","","","","93","133000008"
"0.4","0.95","0.95","3300","","0.95","0.95","","0","123","133000009"
"","","1","3300","","330000","","","","32","133000010"
"","","0","3300","","0.1","","","","93","133000011"
"","","0","3300","","2","","","","32","133000012"
"","","0","3300","","0.1","","","","93","133000013"
"","","1","3300","","997","","","","32","133000014"
"","0","joy_from_wait","3300","","1000001","","","0.2","3","133000015"
"","","0","3300","","1.63","","","","93","133000016"
"","","0","3300","","0.3","","","","93","133000017"
"","","","3300","","3","","","","113","133000018"
