d47322d96c0c918aa1d21de606efb309366d7a756f815db8ab774e5f038ce02b,4553867f85a0e1e7106cd6ed1e0c51989062d2663723f2eeebf391f61d7ffee4,95017da537f19fd4284d1edfd2f6a6ae88bd023990fee7260232c577c1e3174b,79c433f5d7cf871d65f133ffbe4e827b0c748100ba752e6b4a928b4bd0433df8,594a606fe2a26ab64a7b997169f0a51c33cebdecb300a11ac4cddbb895a7b2ca,029c6a6b7e497976780c6be2b42b741cc99a5ef5391a8464833986acdaf20257,8a2410156e554daf37db4522f6d4489c0048d766b24fa2786ffa51d4f2d48689,c0356ef28bb3bee43f37170ac43a374385153be46379024b312c047e2a794a3f,e336ae4cda332a23850f8d5145ae9450258fc47bd18b7a602abaef731482424b,226d60c657ca30fd1ae97e40ad71f9aaf3e50e367318c8ca83ebb8bbd1347347,3f7ca0907bd798aaf27f6512ff666c4d290fbce7adc0376c5b44e9076e612557,c79bf7b41bebcb4e824c4d82354c16f8380e8c3410c7a3dcee4589b957a77b5d,136747459fffe05a54aaf3e2134f7fe47e43f1036fd6c8e1a2966e68ff727bba,7a4c8ae04906d4e5d64c9e120f683b09c7d296ea5a1e3d879511f625814e0233,66a469be2f83090dc8535f9a579a6d351c56d629697df540403760e825fe1fdd,dd22b5bff4e1abf72307daf8e8e8f89918c651ee6008dbd66578d27b521807a2,0581fbf930a3b864c3cba8ff9de10ee63dafea66190246f331ec543209c7951b,c97b5ecb257e020e0602bf40c2d113289bbc1f2ab8ecf186f1cf0ec6e06fe7db,b84ac9fbd82456c1ec29f4d0b33195bdd1e699f5bfcee82976e6c28dc03e6158,434fd11287a7ba53b8aa56ea01ba0de0633fa31bc09954507b020945ee396545,13021cb01dea359a85e0a0c3cb491b06a5848be58714918e5c41d733ebb51027
"0","94002","22002","2","5","0","80","1000000","1093","0","12","2","0","526","22003","0","0","0","1","16","-1"
"0","94002","0","0","1","0","0","10000","1094","0","12","0","0","527","0","0","0","0","1","0","1"
"0","94002","22002","2","2","0","20","250000","1094","0","12","2","0","528","22003","0","0","0","1","4","2"
"0","94002","22002","2","3","0","40","500000","1094","0","12","2","0","529","22003","0","0","0","1","8","3"
"0","94002","22002","2","4","0","60","750000","1094","0","12","2","0","530","22003","0","0","0","1","12","4"
"0","94002","22002","2","5","0","80","1000000","1094","0","12","2","0","531","22003","0","0","0","1","16","-1"
"0","94002","0","0","1","0","0","10000","1095","0","12","0","0","532","0","0","0","0","1","0","1"
"0","94002","22002","2","2","0","20","250000","1095","0","12","2","0","533","22003","0","0","0","1","4","2"
"0","94002","22002","2","3","0","40","500000","1095","0","12","2","0","534","22003","0","0","0","1","8","3"
"0","94002","22002","2","4","0","60","750000","1095","0","12","2","0","535","22003","0","0","0","1","12","4"
"0","94002","22002","2","5","0","80","1000000","1095","0","12","2","0","536","22003","0","0","0","1","16","-1"
